raw_salary,min_monthly,max_monthly,annual_months,total_min,total_max,salary_type,parse_flag
10k-15k·20薪,10.0,15.0,20,200.0,300.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
13k-18k·14薪,13.0,18.0,14,182.0,252.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
10k-15k·24薪,10.0,15.0,24,240.0,360.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
10k-20k·24薪,10.0,20.0,24,240.0,480.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
20k-35k·14薪,20.0,35.0,14,280.0,490.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
14k-27k,14.0,27.0,12,168.0,324.0,月薪,预处理|补全前项k|补全后项k|正常解析
25k-35k·15薪,25.0,35.0,15,375.0,525.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
25k-40k·15薪,25.0,40.0,15,375.0,600.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
30k-40k·16薪,30.0,40.0,16,480.0,640.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
35k-50k·15薪,35.0,50.0,15,525.0,750.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
20k-35k·15薪,20.0,35.0,15,300.0,525.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
10k-20k·15薪,10.0,20.0,15,150.0,300.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
12k-18k·14薪,12.0,18.0,14,168.0,252.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
30k-60k·16薪,30.0,60.0,16,480.0,960.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
13k-23k·13薪,13.0,23.0,13,169.0,299.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
35k-60k·18薪,35.0,60.0,18,630.0,1080.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
28k-56k·16薪,28.0,56.0,16,448.0,896.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
6k-11k·13薪,6.0,11.0,13,78.0,143.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
8k-14k·15薪,8.0,14.0,15,120.0,210.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
25k-45k·15薪,25.0,45.0,15,375.0,675.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
19k-38k·15薪,19.0,38.0,15,285.0,570.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
28k-50k·14薪,28.0,50.0,14,392.0,700.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
25k-50k·14薪,25.0,50.0,14,350.0,700.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
13k-24k,13.0,24.0,12,156.0,288.0,月薪,预处理|补全前项k|补全后项k|正常解析
20k-39k,20.0,39.0,12,240.0,468.0,月薪,预处理|补全前项k|补全后项k|正常解析
11k-20k·15薪,11.0,20.0,15,165.0,300.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
6k-11k·14薪,6.0,11.0,14,84.0,154.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
25k-50k·13薪,25.0,50.0,13,325.0,650.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
7k-11k·13薪,7.0,11.0,13,91.0,143.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
25k-42k·14薪,25.0,42.0,14,350.0,588.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
35k-55k·15薪,35.0,55.0,15,525.0,825.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
7k-9k·15薪,7.0,9.0,15,105.0,135.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
10k-11k,10.0,11.0,12,120.0,132.0,月薪,预处理|补全前项k|补全后项k|正常解析
40k-80k,40.0,80.0,12,480.0,960.0,月薪,预处理|补全前项k|补全后项k|正常解析
12k-21k,12.0,21.0,12,144.0,252.0,月薪,预处理|补全前项k|补全后项k|正常解析
12k-20k·24薪,12.0,20.0,24,288.0,480.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
70k-100k,70.0,100.0,12,840.0,1200.0,月薪,预处理|补全前项k|补全后项k|正常解析
13k-15k,13.0,15.0,12,156.0,180.0,月薪,预处理|补全前项k|补全后项k|正常解析
15k-20k·17薪,15.0,20.0,17,255.0,340.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
16k-25k·24薪,16.0,25.0,24,384.0,600.0,月薪,预处理|补全前项k|补全后项k|提取k后薪数|正常解析
11k-16k,11.0,16.0,12,132.0,192.0,月薪,预处理|补全前项k|补全后项k|正常解析
30k-35k,30.0,35.0,12,360.0,420.0,月薪,预处理|补全前项k|补全后项k|正常解析
